month,member_casual,rides,avg_duration_min
2024-01,casual,23642,14.040896850238278
2024-01,member,116518,11.629050447141214
2024-02,casual,46012,18.44927627575415
2024-02,member,172764,11.916130096547892
2024-03,casual,80303,20.033532786238787
2024-03,member,214320,11.424393585915142
2024-04,casual,127561,22.06614456351602
2024-04,member,276655,12.056757152410041
2024-05,casual,223064,24.134886101447716
2024-05,member,369903,13.208988843021007
